filename,label
S_F9_cam8_keypoints,1
20240916195016_keypoints,1
20240915180243_keypoints,1
20240917120528_keypoints,1
S_F3_cam7_keypoints,1
C_M_185_keypoints,1
S_M_116_keypoints,1
C_N_396_resized_keypoints,1
C_N_34_keypoints,1
S_F21_cam7_keypoints,1
20240919204707_keypoints,1
S_M_80_keypoints,1
S_N_02_keypoints,1
S_D_0224_keypoints,1
S_N_99_resized_keypoints,1
20240914122721_keypoints,1
20240913122310_keypoints,1
S_D_0195_keypoints,1
C_N_499_keypoints,1
20240919205159_keypoints,1
C_D_0061_keypoints,1
S_N_500_resized_keypoints,1
S_D_0092_resized_keypoints,1
20240917151739_keypoints,1
S_D_0128_keypoints,1
C_N_424_keypoints,1
C_N_151_keypoints,1
S_N_168_keypoints,1
C_D_0076_keypoints,1
C_M_164_resized_keypoints,1
20240915181323_keypoints,1
C_N_433_keypoints,1
C_N_146_keypoints,1
S_F4_cam8_keypoints,1
20240917121744_keypoints,1
S_M_179_resized_keypoints,1
C_N_223_resized_keypoints,1
C_M_40_resized_keypoints,1
S_N_250_resized_keypoints,1
S_N_15_keypoints,1
S_N_403_resized_keypoints,1
C_N_470_resized_keypoints,1
S_N_264_keypoints,1
S_D_0182_keypoints,1
C_M_98_resized_keypoints,1
C_N_23_keypoints,1
S_D_0149_resized_keypoints,1
S_M_97_keypoints,1
20240917132658_keypoints,1
20240918195822_keypoints,1
C_N_295_resized_keypoints,1
C_N_171_resized_keypoints,1
S_N_102_resized_keypoints,1
20240919200650_keypoints,1
C_N_283_resized_keypoints,1
20240917122509_keypoints,1
C_D_0168_resized_keypoints,1
C_N_167_resized_keypoints,1
S_N_114_resized_keypoints,1
20240919202855_keypoints,1
S_M_192_keypoints,1
C_N_109_resized_keypoints,1
S_M_223_keypoints,1
S_N_433_keypoints,1
S_N_563_keypoints,1
S_N_146_keypoints,1
C_D_0108_keypoints,1
C_D_0058_keypoints,1
20240915181728_keypoints,1
C_N_235_resized_keypoints,1
S_N_246_resized_keypoints,1
S_D_0041_keypoints,1
S_D_0111_keypoints,1
S_D_0187_resized_keypoints,1
S_N_415_resized_keypoints,1
C_N_466_resized_keypoints,1
20240919201405_keypoints,1
C_N_79_resized_keypoints,1
S_F1_cam1_keypoints,1
20240912_101331_keypoints,1
S_M_101_resized_keypoints,1
S_N_228_resized_keypoints,1
C_D_0254_resized_keypoints,1
20240919162001_keypoints,1
20240918190443_keypoints,1
20240913132534_keypoints,1
S_N_516_resized_keypoints,1
S_D_0084_resized_keypoints,1
C_D_0213_keypoints,1
S_N_424_keypoints,1
S_N_151_keypoints,1
C_M_25_keypoints,1
C_N_358_resized_keypoints,1
20240914122403_keypoints,1
S_D_0056_keypoints,1
